"created_date","modified_date","stage_pk","stage_name","stage_type","stage_slug","tournament_id"
2023-10-21 23:37:32.755 -0600,2023-10-21 23:37:32.755 -0600,61,Regular Season,,regular_season,28
2023-10-21 23:37:34.598 -0600,2023-10-21 23:37:34.598 -0600,62,Playoffs,,playoffs,28
2023-10-21 23:37:34.697 -0600,2023-10-21 23:37:34.697 -0600,63,Regular Season,,regular_season,29
2023-10-21 23:37:36.942 -0600,2023-10-21 23:37:36.942 -0600,64,Playoffs,,playoffs,29
2023-10-21 23:37:37.063 -0600,2023-10-21 23:37:37.063 -0600,65,Round 1,,round_1,30
2023-10-21 23:37:37.557 -0600,2023-10-21 23:37:37.557 -0600,66,Round 2,,round_2,30
2023-10-21 23:37:37.972 -0600,2023-10-21 23:37:37.972 -0600,67,knockouts,,knockouts,30
2023-10-21 23:37:38.020 -0600,2023-10-21 23:37:38.020 -0600,68,Regular Season,,regular_season,31
2023-10-21 23:37:41.569 -0600,2023-10-21 23:37:41.569 -0600,69,Playoffs,,playoffs,31
2023-10-21 23:37:41.752 -0600,2023-10-21 23:37:41.752 -0600,70,Regular Season,,regular_season,32
2023-10-21 23:37:42.455 -0600,2023-10-21 23:37:42.455 -0600,71,Playoffs,,playoffs,32
2023-10-21 23:37:42.550 -0600,2023-10-21 23:37:42.550 -0600,72,Regular Season,,regular_season,33
2023-10-21 23:37:44.650 -0600,2023-10-21 23:37:44.650 -0600,73,Playoffs,,playoffs,33
2023-10-21 23:37:44.757 -0600,2023-10-21 23:37:44.757 -0600,74,Groups,,groups,34
2023-10-21 23:37:44.998 -0600,2023-10-21 23:37:44.998 -0600,75,Knockouts,,elim,34
2023-10-21 23:37:45.028 -0600,2023-10-21 23:37:45.028 -0600,76,Regular Season,,regular_season,35
2023-10-21 23:37:46.845 -0600,2023-10-21 23:37:46.845 -0600,77,Playoffs,,playoffs,35
2023-10-21 23:37:46.901 -0600,2023-10-21 23:37:46.901 -0600,78,Regular Season,,regular_season,36
2023-10-21 23:37:48.857 -0600,2023-10-21 23:37:48.857 -0600,79,Playoffs,,playoffs,36
2023-10-21 23:37:48.965 -0600,2023-10-21 23:37:48.965 -0600,80,Regular Season,,regular_season,37
2023-10-21 23:37:50.291 -0600,2023-10-21 23:37:50.291 -0600,81,Playoffs,,playoffs,37
2023-10-21 23:37:50.382 -0600,2023-10-21 23:37:50.382 -0600,82,Regular Season,,regular_season,38
2023-10-21 23:37:52.134 -0600,2023-10-21 23:37:52.134 -0600,83,Playoffs,,playoffs,38
2023-10-21 23:37:52.263 -0600,2023-10-21 23:37:52.263 -0600,84,Round 1,,round_1,39
2023-10-21 23:37:52.805 -0600,2023-10-21 23:37:52.805 -0600,85,Playoffs,,playoffs,39
2023-10-21 23:37:53.005 -0600,2023-10-21 23:37:53.005 -0600,86,knockouts,,knockouts,40
2023-10-21 23:37:53.410 -0600,2023-10-21 23:37:53.410 -0600,87,Regular Season,,regular_season,41
2023-10-21 23:37:54.673 -0600,2023-10-21 23:37:54.673 -0600,88,Playoffs,,playoffs,41
2023-10-21 23:37:54.844 -0600,2023-10-21 23:37:54.844 -0600,89,Regular Season,,regular_season,42
2023-10-21 23:37:55.673 -0600,2023-10-21 23:37:55.673 -0600,90,Playoffs,,playoffs,42
2023-10-21 23:37:55.714 -0600,2023-10-21 23:37:55.714 -0600,91,Regular Season,,regular_season,43
2023-10-21 23:37:58.020 -0600,2023-10-21 23:37:58.020 -0600,92,Playoffs,,playoffs,43
2023-10-21 23:37:58.140 -0600,2023-10-21 23:37:58.140 -0600,93,Regular Season,,regular_season,44
2023-10-21 23:37:59.214 -0600,2023-10-21 23:37:59.214 -0600,94,Playoffs,,playoffs,44
2023-10-21 23:37:59.272 -0600,2023-10-21 23:37:59.272 -0600,95,Regular Season,,regular_season,45
2023-10-21 23:38:00.166 -0600,2023-10-21 23:38:00.166 -0600,96,Playoffs,,playoffs,45
2023-10-21 23:38:00.230 -0600,2023-10-21 23:38:00.230 -0600,97,Regular Season,,regular_season,46
2023-10-21 23:38:01.578 -0600,2023-10-21 23:38:01.578 -0600,98,Playoffs,,playoffs,46
2023-10-21 23:38:01.688 -0600,2023-10-21 23:38:01.688 -0600,99,Regular Season,,regular_season,47
2023-10-21 23:38:02.846 -0600,2023-10-21 23:38:02.846 -0600,100,Playoffs,,playoffs,47
2023-10-21 23:38:02.919 -0600,2023-10-21 23:38:02.919 -0600,101,Regular Season,,regular_season,48
2023-10-21 23:38:03.315 -0600,2023-10-21 23:38:03.315 -0600,102,Playoffs,,playoffs,48
2023-10-21 23:38:03.359 -0600,2023-10-21 23:38:03.359 -0600,103,Regular Season,,regular_season,49
2023-10-21 23:38:03.794 -0600,2023-10-21 23:38:03.794 -0600,104,Playoffs,,playoffs,49
2023-10-21 23:38:03.932 -0600,2023-10-21 23:38:03.932 -0600,105,Regular Season,,regular_season,50
2023-10-21 23:38:05.256 -0600,2023-10-21 23:38:05.256 -0600,106,Playoffs,,playoffs,50
2023-10-21 23:38:05.352 -0600,2023-10-21 23:38:05.353 -0600,107,Regular Season,,regular_season,51
2023-10-21 23:38:06.569 -0600,2023-10-21 23:38:06.569 -0600,108,promotion,,promotion,51
