"created_date","modified_date","player_pk","player_id","team_id","player_handle","player_name"
2023-10-21 19:11:16.581 -0600,2023-10-21 19:11:16.581 -0600,1,99921042949122311,107582598621022934,Skanito,Harold Quispe
2023-10-21 19:11:16.583 -0600,2023-10-21 19:11:16.583 -0600,2,99566406307797289,98767991921462763,Praedyth,Mark Lewis
2023-10-21 19:11:16.584 -0600,2023-10-21 19:11:16.584 -0600,3,99566405664329447,,Luger,Fatih Güven
2023-10-21 19:11:16.584 -0600,2023-10-21 19:11:16.584 -0600,4,98926509835349325,,Deftly,Matthew Chen
2023-10-21 19:11:16.585 -0600,2023-10-21 19:11:16.585 -0600,5,98767975916458257,100205573495116443,Peanut,Wangho  Han
2023-10-21 19:11:16.586 -0600,2023-10-21 19:11:16.586 -0600,6,110462561913944326,109671413728531527,Ssaiko,Marcel Lin
2023-10-21 19:11:16.586 -0600,2023-10-21 19:11:16.586 -0600,7,109676537101291988,109674808371974726,ianshaka,Ian Pohl
2023-10-21 19:11:16.587 -0600,2023-10-21 19:11:16.587 -0600,8,109675752512061621,98767991921462763,sHAKa,Chen-yu Yang
2023-10-21 19:11:16.588 -0600,2023-10-21 19:11:16.588 -0600,9,109540117467901135,,Only31,Mehmet Emin
2023-10-21 19:11:16.588 -0600,2023-10-21 19:11:16.588 -0600,10,110734375638473497,110733889090164854,Kookykrook,Alexis Rodriguez
2023-10-21 19:11:16.589 -0600,2023-10-21 19:11:16.589 -0600,11,110641779984816687,107565448721890834,Paresz,Balint Paksai
2023-10-21 19:11:16.589 -0600,2023-10-21 19:11:16.589 -0600,12,99566407760687077,,micaO,Micael Rodrigues
2023-10-21 19:11:16.590 -0600,2023-10-21 19:11:16.590 -0600,13,99322416267384658,105913221137618666,V1per,Omran Shoura
2023-10-21 19:11:16.590 -0600,2023-10-21 19:11:16.590 -0600,14,99322214626033933,99322214681521780,HeaQ,Martin Kordmaa
2023-10-21 19:11:16.591 -0600,2023-10-21 19:11:16.591 -0600,15,99124844341128030,98767991882270868,FoFo,Jun-Lan  Chu
2023-10-21 19:11:16.591 -0600,2023-10-21 19:11:16.591 -0600,16,98767991787052097,98767991860392497,Hauntzer,Kevin Yarnell
2023-10-21 19:11:16.592 -0600,2023-10-21 19:11:16.592 -0600,17,110535933483977187,110534714934488523,Mixtsure,Eric Yin
2023-10-21 19:11:16.593 -0600,2023-10-21 19:11:16.593 -0600,18,109676517921198533,107599040773840060,WarangeluSS,Llanos Bernal Fabián Esteban
2023-10-21 19:11:16.593 -0600,2023-10-21 19:11:16.593 -0600,19,99566408333803032,101383792559569368,Nobody,Nicolás Ale
2023-10-21 19:11:16.594 -0600,2023-10-21 19:11:16.594 -0600,20,99566406483009320,107700199633958891,Rest,Shih Chieh Hsu
2023-10-21 19:11:16.594 -0600,2023-10-21 19:11:16.594 -0600,21,98926509801119533,99294153830557090,Gate,Austin Yu
2023-10-21 19:11:16.595 -0600,2023-10-21 19:11:16.595 -0600,22,98926509769517547,103461966951059521,Armao,Jonathan Armao
2023-10-21 19:11:16.595 -0600,2023-10-21 19:11:16.595 -0600,23,98767975900895698,,Expect,Daehan Ki
2023-10-21 19:11:16.596 -0600,2023-10-21 19:11:16.596 -0600,24,110468634669232825,109697683685398040,Becomin,Hyeonsoo So
2023-10-21 19:11:16.596 -0600,2023-10-21 19:11:16.596 -0600,25,110461613173984538,110425005562048945,Shieda,Sean Hyde
2023-10-21 19:11:16.597 -0600,2023-10-21 19:11:16.597 -0600,26,109698306469287659,107582181197106556,Sherkaan,Ricardo Alejandro Suárez Tapia
2023-10-21 19:11:16.598 -0600,2023-10-21 19:11:16.598 -0600,27,109696740646737263,109696138543579708,DaMa,Hussein Hussein
2023-10-21 19:11:16.598 -0600,2023-10-21 19:11:16.598 -0600,28,99566408211536727,109480056092207899,JoJo,Gabriel de Oliveira
2023-10-21 19:11:16.599 -0600,2023-10-21 19:11:16.599 -0600,29,99566404564329223,,ADD,Geunmo  Kang
2023-10-21 19:11:16.599 -0600,2023-10-21 19:11:16.599 -0600,30,99566404525897139,105505619546859895,UmTi,Sunghyeon Um
2023-10-21 19:11:16.600 -0600,2023-10-21 19:11:16.600 -0600,31,98926509745704018,98767991860392497,WildTurtle,Jason Tran
2023-10-21 19:11:16.600 -0600,2023-10-21 19:11:16.600 -0600,32,110536783764146522,106827823550343961,kentakki,Kenta Saito
2023-10-21 19:11:16.601 -0600,2023-10-21 19:11:16.601 -0600,33,110428238060630954,107565448721890834,Clover7,Li Zhigang
2023-10-21 19:11:16.602 -0600,2023-10-21 19:11:16.602 -0600,34,109698190188893872,109698030312834058,Eternal1,Vinicio Sebastian Gaibor Yancha
2023-10-21 19:11:16.602 -0600,2023-10-21 19:11:16.602 -0600,35,99871352193690418,,Luci,Changhun Han
2023-10-21 19:11:16.603 -0600,2023-10-21 19:11:16.603 -0600,36,99566408545249117,107582157086477662,Acerola,Daniel  Villalobos
2023-10-21 19:11:16.603 -0600,2023-10-21 19:11:16.603 -0600,37,99566408532903766,109674814051390025,Buggax,Mateo Aroztegui
2023-10-21 19:11:16.604 -0600,2023-10-21 19:11:16.604 -0600,38,99566404559755136,98767991949608898,SeongHwan,Yun Seong Hwan
2023-10-21 19:11:16.605 -0600,2023-10-21 19:11:16.605 -0600,39,98926509788403333,,Fenix,Jae Hoon Kim
2023-10-21 19:11:16.605 -0600,2023-10-21 19:11:16.605 -0600,40,98767991759219370,,Xmithie,Jake Puchero
2023-10-21 19:11:16.606 -0600,2023-10-21 19:11:16.606 -0600,41,110535799102893884,110534696811298545,Decoy1,Noah D'Addario
2023-10-21 19:11:16.607 -0600,2023-10-21 19:11:16.607 -0600,42,110428375437150775,109642680932009857,Hid0,Gian Miguel Caruana
2023-10-21 19:11:16.607 -0600,2023-10-21 19:11:16.607 -0600,43,109828473190401594,107258254469504696,Sora2,Hien Vu Ngoc
2023-10-21 19:11:16.608 -0600,2023-10-21 19:11:16.608 -0600,44,109800032657915058,110534712174898632,Zev,Mark Villaneuva
2023-10-21 19:11:16.608 -0600,2023-10-21 19:11:16.608 -0600,45,99566408332960781,,Rod,Rodrigo Altieri
2023-10-21 19:11:16.609 -0600,2023-10-21 19:11:16.609 -0600,46,99566404529717522,99124844353216570,Mata,Sehyoung Cho
2023-10-21 19:11:16.609 -0600,2023-10-21 19:11:16.609 -0600,47,98767975966749981,,Broxah,Mads Brock-Pedersen
2023-10-21 19:11:16.610 -0600,2023-10-21 19:11:16.610 -0600,48,98767975915355341,107700199633958891,Gemini,Chu-Xuan Huang
2023-10-21 19:11:16.610 -0600,2023-10-21 19:11:16.610 -0600,49,110442600460593216,107648168744912288,Spark,Keith Lucas
2023-10-21 19:11:16.611 -0600,2023-10-21 19:11:16.611 -0600,50,109701731480510366,105593161016793151,Antwere,Anton Bäcklund
2023-10-21 19:11:16.612 -0600,2023-10-21 19:11:16.612 -0600,51,99871276342823057,99566404850008779,Tarzan,Seungyong Lee
2023-10-21 19:11:16.612 -0600,2023-10-21 19:11:16.612 -0600,52,99566408547374943,107582157086477662,Xuradel,Luis Escobar 
2023-10-21 19:11:16.613 -0600,2023-10-21 19:11:16.613 -0600,53,99322214634684385,105515109012592449,Djoko,Charly Guillard
2023-10-21 19:11:16.613 -0600,2023-10-21 19:11:16.613 -0600,54,99124844344412747,99566406064558732,Zeitnot,Berkay Aşıkuzun
2023-10-21 19:11:16.614 -0600,2023-10-21 19:11:16.614 -0600,55,98926509773296197,106972778172351142,Apollo,Apollo Price
2023-10-21 19:11:16.615 -0600,2023-10-21 19:11:16.615 -0600,56,98767991763297584,98767991882270868,Uzi,Zihao Jian
2023-10-21 19:11:16.615 -0600,2023-10-21 19:11:16.615 -0600,57,98767975939657196,,Khan,Dongha Kim
2023-10-21 19:11:16.616 -0600,2023-10-21 19:11:16.616 -0600,58,110454468743481004,110424397251619481,Darkxo,Roel van Unen
2023-10-21 19:11:16.617 -0600,2023-10-21 19:11:16.617 -0600,59,109981749103139030,110534700622694005,ROCKBOOM,Rocco Mazzo
