"created_date","modified_date","match_type_pk","match_type_name"
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,1,normal
2023-10-21 21:45:22.491 -0600,2023-10-21 21:45:22.491 -0600,2,tiebreaker
